Ubicac.técnica,Equipo,Tipo de equipo,Equipo superior
,10000000,M,
,10000001,M,
,10000002,M,
,10000003,M,
,10000004,M,
,10000005,M,
,10000006,M,
,10000007,M,
,10000008,M,
,10000009,M,
1004-MI1-EAUM-VENT-VEN0087,10000010,M,400002911
,10000011,M,
,10000012,M,
1003-MI1-ECAR-SCOO-SCO2154,300000000,V,
1003-MI1-EPER-JUMB-JUM2103,300000001,V,
1003-MI1-ECAR-SCOO-SCO2152,300000002,V,
1003-MI1-EACA-DUMP-DUM2107,300000003,V,
1003-MI1-EACA-DUMP-DUM2111,300000004,V,
,300000005,V,
1004-MI1-ESOS-EMPE-EMP0004,300000006,V,
1003-MI1-EACA-DUMP-DUM2113,300000007,V,
1003-MI1-ECAR-SCOO-SCO2135,300000008,V,
1003-MI1-EACA-DUMP-DUM2108,300000009,V,
1003-MI1-ECAR-SCOO-SCO2153,300000010,V,
1003-MI1-ECAR-SCOO-SCO2125,300000011,V,
1003-MI1-EAUM-ELEV-ELE2102,300000012,V,
1003-MI1-ESOS-DESA-DES2101,300000013,V,
,300000014,V,
1003-MI1-EACA-DUMP-DUM2110,300000015,V,
1003-MI1-ECAR-SCOO-SCO2126,300000016,V,
1003-MI1-EACA-DUMP-DUM2109,300000017,V,
1003-MI1-EPER-JUMB-JUM2102,300000018,V,
1003-MI1-EPER-JUMB-JUM2104,300000019,V,
1003-MI1-EAUM-ELEV-ELE2103,300000020,V,
1003-MI1-EAUM-ELEV-ELE2104,300000021,V,
1003-PL1-ADRE-LRCA-HOC0301,300000022,V,
1003-PL1-FUND-FUND-HOC0501,300000023,V,
1003-SUP-ELIV-CAMI-CAM3001,300000024,V,
1003-SUP-ELIV-CAMI-CAM3002,300000025,V,
1003-SUP-ELIV-CAMI-CAM3003,300000026,V,
1003-SUP-ELIV-CAMI-CAM3004,300000027,V,
1003-SUP-ELIV-CAMI-CAM3005,300000028,V,
1003-SUP-ELIV-CAMI-CAM3006,300000029,V,
1003-SUP-ELIV-CAMI-CAM3007,300000030,V,
1003-SUP-ELIV-CAMI-CAM3008,300000031,V,
1003-SUP-ELIV-CAMI-CAM3009,300000032,V,
1003-SUP-ELIV-CAMI-CAM3010,300000033,V,
1003-SUP-ELIV-CAMI-CAM3011,300000034,V,
1003-SUP-ELIV-CAMI-CAM3012,300000035,V,
1003-SUP-ELIV-CAMI-CAM3013,300000036,V,
1003-SUP-ELIV-CAMI-CAM3014,300000037,V,
1003-SUP-ELIV-CAMI-CAM3015,300000038,V,
1003-SUP-ELIV-CAMI-CAM3016,300000039,V,
